Family	Barcode	Code
FAM27	BC295_S199	27-C-1-I
FAM27	BC296_S200	27-C-1-II
FAM27	BC377_S281	27-C-1-III
FAM27	BC303_S207	27-C-2-I
FAM27	BC304_S208	27-C-2-II
FAM27	BC378_S282	27-C-2-III
FAM27	BC311_S215	27-C-7-I
FAM27	BC312_S216	27-C-7-II
FAM27	BC379_S283	27-C-7-III
FAM27	BC321_S225	27-Co1-9-I
FAM27	BC322_S226	27-Co1-9-II
FAM27	BC323_S227	27-Co1-9-III
FAM27	BC332_S236	27-Co2-10-I
FAM27	BC333_S237	27-Co2-10-II
FAM27	BC334_S238	27-Co2-10-III
FAM27	BC327_S231	27-Co3-11-I
FAM27	BC328_S232	27-Co3-11-II
FAM27	BC381_S285	27-Co3-11-III
FAM27	BC292_S196	27-F-1-I
FAM27	BC293_S197	27-F-1-II
FAM27	BC294_S198	27-F-1-III
FAM27	BC300_S204	27-F-2-I
FAM27	BC301_S205	27-F-2-II
FAM27	BC302_S206	27-F-2-III
FAM27	BC308_S212	27-F-3-I
FAM27	BC309_S213	27-F-3-II
FAM27	BC310_S214	27-F-3-III
FAM27	BC316_S220	27-F-4-I
FAM27	BC317_S221	27-F-4-II
FAM27	BC318_S222	27-F-4-III
FAM27	BC348_S252	27-F-5-I
FAM27	BC349_S253	27-F-5-II
FAM27	BC350_S254	27-F-5-III
FAM27	BC324_S228	27-F-6-I
FAM27	BC325_S229	27-F-6-II
FAM27	BC326_S230	27-F-6-III
FAM27	BC289_S193	27-M-1-I
FAM27	BC290_S194	27-M-1-II
FAM27	BC291_S195	27-M-1-III
FAM27	BC297_S201	27-M-2-I
FAM27	BC298_S202	27-M-2-II
FAM27	BC299_S203	27-M-2-III
FAM27	BC305_S209	27-M-3-I
FAM27	BC306_S210	27-M-3-II
FAM27	BC307_S211	27-M-3-III
FAM27	BC313_S217	27-M-4-I
FAM27	BC314_S218	27-M-4-II
FAM27	BC315_S219	27-M-4-III
FAM27	BC345_S249	27-M-5-I
FAM27	BC346_S250	27-M-5-II
FAM27	BC347_S251	27-M-5-III
FAM27	BC319_S223	27-NTC-I
FAM27	BC320_S224	27-NTC-II
FAM27	BC380_S284	27-NTC-III
FAM34	BC295_S199	34-C-1-I
FAM34	BC296_S200	34-C-1-II
FAM34	BC377_S281	34-C-1-III
FAM34	BC303_S207	34-C-2-I
FAM34	BC304_S208	34-C-2-II
FAM34	BC378_S282	34-C-2-III
FAM34	BC311_S215	34-C-7-I
FAM34	BC312_S216	34-C-7-II
FAM34	BC379_S283	34-C-7-III
FAM34	BC321_S225	34-Co1-9-I
FAM34	BC322_S226	34-Co1-9-II
FAM34	BC323_S227	34-Co1-9-III
FAM34	BC332_S236	34-Co2-10-I
FAM34	BC333_S237	34-Co2-10-II
FAM34	BC334_S238	34-Co2-10-III
FAM34	BC327_S231	34-Co3-11-I
FAM34	BC328_S232	34-Co3-11-II
FAM34	BC381_S285	34-Co3-11-III
FAM34	BC292_S196	34-F-1-I
FAM34	BC293_S197	34-F-1-II
FAM34	BC294_S198	34-F-1-III
FAM34	BC300_S204	34-F-2-I
FAM34	BC301_S205	34-F-2-II
FAM34	BC302_S206	34-F-2-III
FAM34	BC308_S212	34-F-3-I
FAM34	BC309_S213	34-F-3-II
FAM34	BC310_S214	34-F-3-III
FAM34	BC316_S220	34-F-4-I
FAM34	BC317_S221	34-F-4-II
FAM34	BC318_S222	34-F-4-III
FAM34	BC348_S252	34-F-5-I
FAM34	BC349_S253	34-F-5-II
FAM34	BC350_S254	34-F-5-III
FAM34	BC324_S228	34-F-6-I
FAM34	BC325_S229	34-F-6-II
FAM34	BC326_S230	34-F-6-III
FAM34	BC289_S193	34-M-1-I
FAM34	BC290_S194	34-M-1-II
FAM34	BC291_S195	34-M-1-III
FAM34	BC297_S201	34-M-2-I
FAM34	BC298_S202	34-M-2-II
FAM34	BC299_S203	34-M-2-III
FAM34	BC305_S209	34-M-3-I
FAM34	BC306_S210	34-M-3-II
FAM34	BC307_S211	34-M-3-III
FAM34	BC313_S217	34-M-4-I
FAM34	BC314_S218	34-M-4-II
FAM34	BC315_S219	34-M-4-III
FAM34	BC345_S249	34-M-5-I
FAM34	BC346_S250	34-M-5-II
FAM34	BC347_S251	34-M-5-III
FAM34	BC319_S223	34-NTC-I
FAM34	BC320_S224	34-NTC-II
FAM34	BC380_S284	34-NTC-III
